Label,HOA,Precinct,Type,Longitude,Latitude,Status
176,Val de Vie 1,VDV I: Phase 1,Single residential,18.96518239,-33.81201979,Transferred
176,Val de Vie 1,VDV I: Phase 1,Single residential,18.98018145,-33.81952681,Transferred
176,Val de Vie 1,VDV I: Phase 1,Single residential,18.97212232,-33.79504851,Transferred
331,Val de Vie 1,VDV I: Phase 1,Single residential,18.96762128,-33.80316898,Transferred
331,Val de Vie 1,VDV I: Phase 1,Single residential,18.98180036,-33.82343239,Transferred
177,Val de Vie 1,VDV I: Phase 1,Single residential,18.96502549,-33.81198609,Transferred
177,Val de Vie 1,VDV I: Phase 1,Single residential,18.97213561,-33.79523078,Transferred
178,Val de Vie 1,VDV I: Phase 1,Single residential,18.97905468,-33.81916984,Transferred
178,Val de Vie 1,VDV I: Phase 1,Single residential,18.96470647,-33.81191757,Transferred
178,Val de Vie 1,VDV I: Phase 1,Single residential,18.97239562,-33.79509787,Transferred
180,Val de Vie 1,VDV I: Phase 1,Single residential,18.97160665,-33.79431195,Transferred
180,Val de Vie 1,VDV I: Phase 1,Single residential,18.97882517,-33.81873252,Transferred
180,Val de Vie 1,VDV I: Phase 1,Single residential,18.96441359,-33.81185466,Transferred
